Time,Value
12:33:42,15196
12:33:42,13492
12:33:42,6582
12:33:42,2968
12:33:42,850
12:33:42,-2957
12:33:42,-1275
12:33:42,9728
12:33:42,21801
12:33:42,27860
12:33:42,33303
12:33:42,40545
12:33:42,44635
12:33:42,48202
12:33:42,49168
12:33:42,40415
12:33:42,28538
12:33:42,18897
12:33:42,8223
12:33:42,1158
12:33:42,-832
12:33:42,-9032
12:33:42,-15784
12:33:42,-8080
12:33:42,6165
12:33:42,9416
12:33:42,9308
12:33:42,20384
12:33:42,24008
12:33:42,20327
12:33:42,24879
12:33:42,29671
12:33:42,27255
12:33:42,26531
12:33:42,27568
12:33:42,25053
12:33:42,27097
12:33:42,35427
12:33:42,42182
12:33:42,38727
12:33:42,29939
12:33:42,23465
12:33:42,13382
12:33:42,3681
12:33:42,-1577
12:33:42,-8368
12:33:42,-13847
12:33:42,-13833
12:33:42,-10886
12:33:42,-3920
12:33:42,12961
12:33:42,32375
12:33:42,47271
12:33:42,58944
12:33:42,64283
12:33:42,58735
12:33:42,43209
12:33:42,30611
12:33:42,17468
12:33:42,2273
12:33:42,-2233
12:33:42,-4432
12:33:42,-13678
12:33:42,-23971
12:33:42,-25353
12:33:42,-13145
12:33:42,7527
12:33:42,25040
12:33:42,32207
12:33:42,29628
12:33:42,25830
12:33:42,28878
12:33:42,30429
12:33:42,28284
12:33:42,27805
12:33:42,20741
12:33:42,9039
12:33:42,1162
12:33:42,-8671
12:33:42,-16755
12:33:42,-12140
12:33:42,-3334
12:33:42,2418
12:33:42,9415
12:33:42,17669
12:33:42,25544
12:33:42,32375
12:33:42,41083
12:33:42,48690
12:33:42,48614
12:33:42,43430
12:33:42,37196
12:33:42,28725
12:33:43,20699
12:33:43,16807
12:33:43,9916
12:33:43,1400
12:33:43,-2698
12:33:43,-6149
12:33:43,-7683
12:33:43,-2414
12:33:43,7795
12:33:43,17458
12:33:43,25283
12:33:43,30291
12:33:43,30172
12:33:43,29079
12:33:43,30633
12:33:43,30564
12:33:43,26856
12:33:43,21293
12:33:43,11296
12:33:43,-2051
12:33:43,-8060
12:33:43,-2468
12:33:43,6449
12:33:43,14013
12:33:43,23555
12:33:43,30618
12:33:43,30557
12:33:43,33195
12:33:43,37881
12:33:43,37041
12:33:43,34722
12:33:43,34164
12:33:43,31188
12:33:43,19789
12:33:43,-2444
12:33:43,-25555
12:33:43,-26058
12:33:43,-9341
12:33:43,-3967
12:33:43,-652
12:33:43,10219
12:33:43,13664
12:33:43,17055
12:33:43,22454
12:33:43,22943
12:33:43,24882
12:33:43,27110
12:33:43,28909
12:33:43,33085
12:33:43,34891
12:33:43,37097
12:33:43,41667
12:33:43,36238
12:33:43,22764
12:33:43,10548
12:33:43,-902
12:33:43,-12222
12:33:43,-19640
12:33:43,-19081
12:33:43,-12444
12:33:43,-1514
12:33:43,11318
12:33:43,23212
12:33:43,33521
12:33:43,44041
12:33:43,52891
12:33:43,56318
12:33:43,58134
12:33:43,52824
12:33:43,38470
12:33:43,15345
12:33:43,-5656
12:33:43,-12312
12:33:43,-18208
12:33:43,-16318
12:33:43,-15023
12:33:43,-20574
12:33:43,-10842
12:33:43,9271
12:33:43,25968
12:33:43,34296
12:33:43,36380
12:33:43,33595
12:33:43,28583
12:33:43,24691
12:33:43,20957
12:33:43,17202
12:33:43,15275
12:33:43,13408
12:33:43,6166
12:33:43,-5474
12:33:43,-13331
12:33:43,-14333
12:33:43,-9058
12:33:43,5055
12:33:43,19588
12:33:43,27816
12:33:43,33903
12:33:43,37823
12:33:43,38091
12:33:44,37651
12:33:44,40540
12:33:44,42563
12:33:44,37804
12:33:44,30070
12:33:44,21480
12:33:44,9090
12:33:44,-372
12:33:44,-3377
12:33:44,-6801
12:33:44,-6660
12:33:44,1003
12:33:44,6511
12:33:44,9252
12:33:44,16900
12:33:44,25291
12:33:44,29265
12:33:44,32134
12:33:44,35519
12:33:44,33046
12:33:44,22728
12:33:44,11035
12:33:44,296
12:33:44,-7770
12:33:44,-5971
12:33:44,4089
12:33:44,12459
12:33:44,20831
12:33:44,32648
12:33:44,41868
12:33:44,46660
12:33:44,49338
12:33:44,47734
12:33:44,40123
12:33:44,31918
12:33:44,22338
12:33:44,10116
12:33:44,-2190
12:33:44,-14450
12:33:44,-16976
12:33:44,-5631
12:33:44,5780
12:33:44,4892
12:33:44,5700
12:33:44,12250
12:33:44,14102
12:33:44,21220
12:33:44,31862
12:33:44,35566
12:33:44,33435
12:33:44,27889
12:33:44,25592
12:33:44,28731
12:33:44,31794
12:33:44,35747
12:33:44,36743
12:33:44,26202
12:33:44,9149
12:33:44,-3053
12:33:44,-8905
12:33:44,-10040
12:33:44,-7018
12:33:44,-3571
12:33:44,1569
12:33:44,8272
12:33:44,16264
12:33:44,26684
12:33:44,38752
12:33:44,52232
12:33:44,58692
12:33:44,54686
12:33:44,47357
12:33:44,35496
12:33:44,16175
12:33:44,4923
12:33:44,-627
12:33:44,-11486
12:33:44,-9337
12:33:44,686
12:33:44,-1142
12:33:44,-12078
12:33:44,-12955
12:33:44,7487
12:33:44,31005
12:33:44,44439
12:33:44,47142
12:33:44,36308
12:33:44,19472
12:33:44,10387
12:33:44,8208
12:33:44,8973
12:33:44,14083
12:33:44,15242
12:33:44,6489
12:33:44,-4143
12:33:44,-9610
12:33:44,-10417
12:33:44,-5949
12:33:44,5643
12:33:44,17775
12:33:45,23528
12:33:45,27363
12:33:45,31669
12:33:45,35010
12:33:45,40907
12:33:45,48238
12:33:45,46312
12:33:45,34886
12:33:45,24082
12:33:45,13626
12:33:45,3356
12:33:45,-670
12:33:45,321
12:33:45,-224
12:33:45,-2267
12:33:45,-1740
12:33:45,-1866
12:33:45,-1144
12:33:45,8457
12:33:45,21453
12:33:45,29000
12:33:45,28257
12:33:45,21404
12:33:45,14934
12:33:45,11955
12:33:45,12287
12:33:45,13701
12:33:45,17975
12:33:45,26120
12:33:45,30595
12:33:45,32054
12:33:45,39606
12:33:45,51598
12:33:45,57096
12:33:45,54334
12:33:45,45462
12:33:45,27972
12:33:45,9101
12:33:45,-2293
12:33:45,-8263
12:33:45,-22752
12:33:45,-34192
12:33:45,-18889
12:33:45,2853
12:33:45,9379
12:33:45,13504
12:33:45,21717
12:33:45,21162
12:33:45,19598
12:33:45,27463
12:33:45,29459
12:33:45,25436
12:33:45,25246
12:33:45,23342
12:33:45,23242
12:33:45,26940
12:33:45,29024
12:33:45,28062
12:33:45,23218
12:33:45,14268
12:33:45,1821
12:33:45,-5500
12:33:45,-4621
12:33:45,-2211
12:33:45,497
12:33:45,5552
12:33:45,9031
12:33:45,11177
12:33:45,19666
12:33:45,32078
12:33:45,43753
12:33:45,51083
12:33:45,57109
12:33:45,56661
12:33:45,43837
12:33:45,34041
12:33:45,22593
12:33:45,11572
12:33:45,1243
12:33:45,-7239
12:33:45,-3642
12:33:45,-5183
12:33:45,-13194
12:33:45,-21518
12:33:45,-17430
12:33:45,5259
12:33:45,26443
12:33:45,36056
12:33:45,39862
12:33:45,38777
12:33:45,29598
12:33:45,23303
12:33:45,22938
12:33:45,19312
12:33:45,9810
12:33:45,852
12:33:45,-4677
12:33:45,-12016
12:33:45,-17353
12:33:45,-14097
12:33:46,-7277
12:33:46,642
12:33:46,10894
12:33:46,18449
12:33:46,24853
12:33:46,34382
12:33:46,43733
12:33:46,50128
12:33:46,54222
12:33:46,51621
12:33:46,39611
12:33:46,27471
12:33:46,19167
12:33:46,10314
12:33:46,2915
12:33:46,491
12:33:46,-842
12:33:46,-5495
12:33:46,-5857
12:33:46,2170
12:33:46,9671
12:33:46,17440
12:33:46,29229
12:33:46,36692
12:33:46,35859
12:33:46,31989
12:33:46,28047
12:33:46,22391
12:33:46,16562
12:33:46,12851
12:33:46,7495
12:33:46,1315
12:33:46,-1044
12:33:46,-474
12:33:46,3909
12:33:46,14468
12:33:46,27741
12:33:46,37811
12:33:46,42390
12:33:46,38725
12:33:46,29778
12:33:46,26068
12:33:46,28007
12:33:46,25546
12:33:46,10309
12:33:46,-2062
12:33:46,2462
12:33:46,7013
12:33:46,1223
12:33:46,1573
12:33:46,12147
12:33:46,14766
12:33:46,11149
12:33:46,10877
12:33:46,9994
12:33:46,12690
12:33:46,21284
12:33:46,30069
12:33:46,37503
12:33:46,38516
12:33:46,35684
12:33:46,33829
12:33:46,33495
12:33:46,28970
12:33:46,18714
